name      ,cb1            ,cb2            ,cb3            ,cb4            ,cb5            ,cb6            ,cb7            ,cb8            ,cb9            ,cb10           ,cb11           ,cb12           ,cb13           ,cb14           ,cb15           ,
DFBFB1    ,CLK1           ,ininv_RN_0     ,out_QN         ,out_Q          ,out_Q_2        ,FCROSS_4       ,BACKTRACK3_1   ,FCROSS_4       ,BACKTRACK3_1   ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFBFB2    ,CLK1           ,ininv_RN_0     ,out_QN         ,out_Q          ,out_Q_2        ,FCROSS_4       ,BACKTRACK3_1   ,FCROSS_4       ,BACKTRACK3_1   ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFBRB1    ,CLK1           ,ininv_RN_0     ,out_QN         ,out_Q          ,out_Q_2        ,FCROSS_4       ,BACKTRACK3_1   ,FCROSS_4       ,BACKTRACK3_1   ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFBRB2    ,CLK1           ,ininv_RN_0     ,out_QN         ,out_Q          ,out_Q_2        ,FCROSS_4       ,BACKTRACK3_1   ,FCROSS_4       ,BACKTRACK3_1   ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFBRQ1    ,CLK1           ,ininv_RN_0     ,LOGIC3_1       ,FCROSS_4       ,BACKTRACK3_1   ,FCROSS_4       ,BACKTRACK3_1   ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFBRQ2    ,CLK1           ,ininv_RN_0     ,LOGIC3_1       ,FCROSS_4       ,BACKTRACK3_1   ,FCROSS_4       ,BACKTRACK3_1   ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFCFB1    ,CLK1           ,ininv_RN_0     ,out_QN         ,out_Q          ,out_Q_2        ,FCROSS_4       ,LOGIC2_NOR2    ,FCROSS_4       ,LOGIC2_NOR2    ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFCFB2    ,CLK1           ,ininv_RN_0     ,out_QN         ,out_Q          ,out_Q_2        ,FCROSS_4       ,LOGIC2_NOR2    ,FCROSS_4       ,LOGIC2_NOR2    ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFCFQ1    ,CLK1           ,ininv_RN_0     ,out_Q          ,out_Q_2        ,FCROSS_4       ,LOGIC2_NOR2    ,FCROSS_4       ,LOGIC2_NOR2    ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFCFQ2    ,CLK1           ,ininv_RN_0     ,out_Q          ,out_Q_2        ,FCROSS_4       ,LOGIC2_NOR2    ,FCROSS_4       ,LOGIC2_NOR2    ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFCRB1    ,CLK1           ,ininv_RN_0     ,out_QN         ,out_Q          ,out_Q_2        ,FCROSS_4       ,LOGIC2_NOR2    ,FCROSS_4       ,LOGIC2_NOR2    ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFCRB2    ,CLK1           ,ininv_RN_0     ,out_QN         ,out_Q          ,out_Q_2        ,FCROSS_4       ,LOGIC2_NOR2    ,FCROSS_4       ,LOGIC2_NOR2    ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFCRN1    ,CLK1           ,ininv_RN_0     ,out_QN         ,FCROSS_4       ,LOGIC2_NOR2    ,FCROSS_4       ,LOGIC2_NOR2    ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFCRN2    ,CLK1           ,ininv_RN_0     ,out_QN         ,FCROSS_4       ,LOGIC2_NOR2    ,FCROSS_4       ,LOGIC2_NOR2    ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFCRQ1    ,CLK1           ,ininv_RN_0     ,LOGIC2_NOR2    ,FCROSS_4       ,LOGIC2_NOR2    ,FCROSS_4       ,LOGIC2_NOR2    ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFCRQ2    ,CLK1           ,ininv_RN_0     ,LOGIC2_NOR2    ,FCROSS_4       ,LOGIC2_NOR2    ,FCROSS_4       ,LOGIC2_NOR2    ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFNFB1    ,CLK1           ,out_QN         ,out_Q          ,FCROSS_4       ,backtrack1     ,FCROSS_4       ,backtrack2     ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFNFB2    ,CLK1           ,out_QN         ,out_Q          ,FCROSS_4       ,backtrack1     ,FCROSS_4       ,backtrack2     ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFNRB1    ,CLK1           ,out_QN         ,out_Q          ,FCROSS_4       ,backtrack1     ,FCROSS_4       ,backtrack2     ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFNRB2    ,CLK1           ,out_QN         ,out_Q          ,FCROSS_4       ,backtrack1     ,FCROSS_4       ,backtrack2     ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFNRN1    ,CLK1           ,out_QN         ,FCROSS_4       ,backtrack1     ,FCROSS_4       ,backtrack2     ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFNRN2    ,CLK1           ,out_QN         ,FCROSS_4       ,backtrack1     ,FCROSS_4       ,backtrack2     ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFNRQ1    ,CLK1           ,out_Q          ,FCROSS_4       ,backtrack1     ,FCROSS_4       ,backtrack2     ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFNRQ2    ,CLK1           ,out_Q          ,FCROSS_4       ,backtrack1     ,FCROSS_4       ,backtrack2     ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFPFB1    ,CLK1           ,out_Q          ,out_Q_2        ,out_QN         ,FCROSS_4       ,LOGIC2_NAND2   ,FCROSS_4       ,LOGIC2_NAND2   ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFPFB2    ,CLK1           ,out_Q          ,out_Q_2        ,out_QN         ,FCROSS_4       ,LOGIC2_NAND2   ,FCROSS_4       ,LOGIC2_NAND2   ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFPRB1    ,CLK1           ,out_Q          ,out_Q_2        ,out_QN         ,FCROSS_4       ,LOGIC2_NAND2   ,FCROSS_4       ,LOGIC2_NAND2   ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFPRB2    ,CLK1           ,out_Q          ,out_Q_2        ,out_QN         ,FCROSS_4       ,LOGIC2_NAND2   ,FCROSS_4       ,LOGIC2_NAND2   ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFPRQ1    ,CLK1           ,LOGIC2_NAND2   ,FCROSS_4       ,LOGIC2_NAND2   ,FCROSS_4       ,LOGIC2_NAND2   ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
DFPRQ2    ,CLK1           ,LOGIC2_NAND2   ,FCROSS_4       ,LOGIC2_NAND2   ,FCROSS_4       ,LOGIC2_NAND2   ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,NA             ,
