name      ,cb1                           ,cb2                           ,cb3                           ,cb4                           ,cb5                           ,cb6                           ,cb7                           ,cb8                           ,cb9                           ,cb10                          ,cb11                          ,cb12                          ,
DFBFB1    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,out_Q_2: INV                  ,cross1: FCROSS_4              ,backtrack1: BACKTRACK3_1      ,cross2: FCROSS_4              ,backtrack2: BACKTRACK3_1      ,NA                            ,NA                            ,NA                            ,
DFBFB2    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,out_Q_2: INV                  ,cross1: FCROSS_4              ,backtrack1: BACKTRACK3_1      ,cross2: FCROSS_4              ,backtrack2: BACKTRACK3_1      ,NA                            ,NA                            ,NA                            ,
DFBRB1    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,out_Q_2: INV                  ,cross1: FCROSS_4              ,backtrack1: BACKTRACK3_1      ,cross2: FCROSS_4              ,backtrack2: BACKTRACK3_1      ,NA                            ,NA                            ,NA                            ,
DFBRB2    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,out_Q_2: INV                  ,cross1: FCROSS_4              ,backtrack1: BACKTRACK3_1      ,cross2: FCROSS_4              ,backtrack2: BACKTRACK3_1      ,NA                            ,NA                            ,NA                            ,
DFBRQ1    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_Q: LOGIC3_1               ,cross1: FCROSS_4              ,backtrack1: BACKTRACK3_1      ,cross2: FCROSS_4              ,backtrack2: BACKTRACK3_1      ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFBRQ2    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_Q: LOGIC3_1               ,cross1: FCROSS_4              ,backtrack1: BACKTRACK3_1      ,cross2: FCROSS_4              ,backtrack2: BACKTRACK3_1      ,NA                            ,NA                            ,NA                            ,NA                            ,NA                            ,
DFCFB1    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,out_Q_2: INV                  ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,
DFCFB2    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_QN: INV                   ,out_Q: INV                    ,out_Q_2: INV                  ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,
DFCFQ1    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,NA                            ,
DFCFQ2    ,clk: CLK1                     ,ininv_RN_0: INV               ,out_Q: INV                    ,out_Q_2: INV                  ,cross1: FCROSS_4              ,backtrack1: LOGIC2_NOR2       ,cross2: FCROSS_4              ,backtrack2: LOGIC2_NOR2       ,NA                            ,NA                            ,NA                            ,NA                            ,
