,ckt,type,en,mi,rn,sn
0,AD01D0,arithmetic,False,False,False,False
1,AD01D1,arithmetic,False,False,False,False
2,AD01D2,arithmetic,False,False,False,False
3,AH01D0,arithmetic,False,False,False,False
4,AH01D1,arithmetic,False,False,False,False
5,AH01D2,arithmetic,False,False,False,False
6,BUFTLD4,complex,False,False,False,False
7,BUFTLD6,complex,False,False,False,False
8,BUFTLD8,complex,False,False,False,False
9,AN02D0,complex,False,False,False,False
10,AN02D1,complex,False,False,False,False
11,AN02D2,complex,False,False,False,False
12,AN03D0,complex,False,False,False,False
13,AN03D1,complex,False,False,False,False
14,AN03D2,complex,False,False,False,False
15,AN04D0,complex,False,False,False,False
16,AN04D1,complex,False,False,False,False
17,AN04D2,complex,False,False,False,False
18,AN12D0,complex,False,False,False,False
19,AN12D1,complex,False,False,False,False
20,AN12D2,complex,False,False,False,False
21,AN13D0,complex,False,False,False,False
22,AN13D1,complex,False,False,False,False
23,AN13D2,complex,False,False,False,False
24,AN23D0,complex,False,False,False,False
25,AN23D1,complex,False,False,False,False
26,AN23D2,complex,False,False,False,False
27,AOI211D0,complex,False,False,False,False
28,AOI211D1,complex,False,False,False,False
29,AOI211D2,complex,False,False,False,False
30,AOI21D0,complex,False,False,False,False
31,AOI21D1,complex,False,False,False,False
32,AOI21D2,complex,False,False,False,False
33,AOI221D0,complex,False,False,False,False
34,AOI221D1,complex,False,False,False,False
35,AOI221D2,complex,False,False,False,False
36,AOI22D0,complex,False,False,False,False
37,AOI22D1,complex,False,False,False,False
38,AOI22D2,complex,False,False,False,False
39,AOI31D0,complex,False,False,False,False
40,AOI31D1,complex,False,False,False,False
41,AOI31D2,complex,False,False,False,False
42,AOI32D0,complex,False,False,False,False
43,AOI32D1,complex,False,False,False,False
44,AOI32D2,complex,False,False,False,False
45,AOI33D0,complex,False,False,False,False
46,AOI33D1,complex,False,False,False,False
47,AOI33D2,complex,False,False,False,False
48,AOIM21D0,complex,False,False,False,False
49,AOIM21D1,complex,False,False,False,False
50,AOIM21D2,complex,False,False,False,False
51,AOIM22D0,complex,False,False,False,False
52,AOIM22D1,complex,False,False,False,False
53,AOIM22D2,complex,False,False,False,False
54,AOIM31D0,complex,False,False,False,False
55,AOIM31D1,complex,False,False,False,False
56,AOIM31D2,complex,False,False,False,False
57,AOR211D0,complex,False,False,False,False
58,AOR211D1,complex,False,False,False,False
59,AOR211D2,complex,False,False,False,False
60,AOR21D0,complex,False,False,False,False
61,AOR21D1,complex,False,False,False,False
62,AOR21D2,complex,False,False,False,False
63,AOR221D0,complex,False,False,False,False
64,AOR221D1,complex,False,False,False,False
65,AOR221D2,complex,False,False,False,False
66,AOR22D0,complex,False,False,False,False
67,AOR22D1,complex,False,False,False,False
68,AOR22D2,complex,False,False,False,False
69,AOR311D0,complex,False,False,False,False
