,cell,type,devices_num,result,message,time
0,DFBFB1,Sequential Logic,40,Fail,Pattern APR Failed,2.025 s
1,DFCFB1,Sequential Logic,36,Success,Success,9.106 s
2,DFCFQ1,Sequential Logic,34,Success,Success,7.684 s
3,DFCRB1,Sequential Logic,36,Success,Success,18.912 s
4,DFCRN1,Sequential Logic,32,Success,Success,7.693 s
5,DFCRQ1,Sequential Logic,34,Success,Success,8.086 s
6,DFNFB1,Sequential Logic,28,Success,Success,7.432 s
7,DFNRB1,Sequential Logic,28,Success,Success,5.108 s
8,DFNRN1,Sequential Logic,26,Success,Success,5.840 s
9,DFNRQ1,Sequential Logic,26,Success,Success,4.790 s
10,DFPFB1,Sequential Logic,34,Fail,Pattern APR Failed,0.824 s
11,DFPRB1,Sequential Logic,34,Fail,Pattern APR Failed,0.945 s
12,DFPRQ1,Sequential Logic,32,Fail,Pattern APR Failed,0.845 s
