name      ,cb1                           ,cb2                           ,cb3                           ,cb4                           ,cb5                           ,cb6                           ,cb7                           ,cb8                           ,cb9                           ,cb10                          
DFBFB1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,ininv_RN_0-out_Q_2|out_Q-out_QN,NA                            ,NA                            ,NA                            ,NA                            
DFBFB2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,ininv_RN_0-out_Q_2|out_Q-out_QN,NA                            ,NA                            ,NA                            ,NA                            
DFBRB1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,ininv_RN_0-out_Q_2|out_Q-out_QN,NA                            ,NA                            ,NA                            ,NA                            
DFBRB2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,ininv_RN_0-out_Q_2|out_Q-out_QN,NA                            ,NA                            ,NA                            ,NA                            
DFBRQ1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q-ininv_RN_0              ,NA                            ,NA                            ,NA                            ,NA                            
DFBRQ2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q-ininv_RN_0              ,NA                            ,NA                            ,NA                            ,NA                            
DFCFB1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,ininv_RN_0-out_Q_2|out_Q-out_QN,NA                            ,NA                            ,NA                            ,NA                            
DFCFB2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,ininv_RN_0-out_Q_2|out_Q-out_QN,NA                            ,NA                            ,NA                            ,NA                            
DFCFQ1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,ininv_RN_0|out_Q_2-out_Q      ,NA                            ,NA                            ,NA                            ,NA                            
DFCFQ2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,ininv_RN_0|out_Q_2-out_Q      ,NA                            ,NA                            ,NA                            ,NA                            
DFCRB1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,ininv_RN_0-out_Q_2|out_Q-out_QN,NA                            ,NA                            ,NA                            ,NA                            
DFCRB2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,ininv_RN_0-out_Q_2|out_Q-out_QN,NA                            ,NA                            ,NA                            ,NA                            
DFCRN1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_QN-ininv_RN_0             ,NA                            ,NA                            ,NA                            ,NA                            
DFCRN2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_QN-ininv_RN_0             ,NA                            ,NA                            ,NA                            ,NA                            
DFCRQ1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q-ininv_RN_0              ,NA                            ,NA                            ,NA                            ,NA                            
DFCRQ2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q-ininv_RN_0              ,NA                            ,NA                            ,NA                            ,NA                            
DFNFB1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q-out_QN                  ,NA                            ,NA                            ,NA                            ,NA                            
DFNFB2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q-out_QN                  ,NA                            ,NA                            ,NA                            ,NA                            
DFNRB1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q-out_QN                  ,NA                            ,NA                            ,NA                            ,NA                            
DFNRB2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q-out_QN                  ,NA                            ,NA                            ,NA                            ,NA                            
DFNRN1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_QN                        ,NA                            ,NA                            ,NA                            ,NA                            
DFNRN2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_QN                        ,NA                            ,NA                            ,NA                            ,NA                            
DFNRQ1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q                         ,NA                            ,NA                            ,NA                            ,NA                            
DFNRQ2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q                         ,NA                            ,NA                            ,NA                            ,NA                            
DFPFB1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q_2|out_Q-out_QN          ,NA                            ,NA                            ,NA                            ,NA                            
DFPFB2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q_2|out_Q-out_QN          ,NA                            ,NA                            ,NA                            ,NA                            
DFPRB1    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q_2|out_Q-out_QN          ,NA                            ,NA                            ,NA                            ,NA                            
DFPRB2    ,clk                           ,cross1                        ,backtrack1                    ,cross2                        ,backtrack2                    ,out_Q_2|out_Q-out_QN          ,NA                            ,NA                            ,NA                            ,NA                            
