,ckt,type,en,mi,rn,sn
0,ADDFHX1MTR,arithmetic,False,False,False,False
1,ADDFHX2MTR,arithmetic,False,False,False,False
2,ADDFHX4MTR,arithmetic,False,False,False,False
3,ADDFHX8MTR,arithmetic,False,False,False,False
4,ADDFHXLMTR,arithmetic,False,False,False,False
5,ADDFX1MTR,arithmetic,False,False,False,False
6,ADDFX2MTR,arithmetic,False,False,False,False
7,ADDFX4MTR,arithmetic,False,False,False,False
8,ADDFX8MTR,arithmetic,False,False,False,False
9,ADDFXLMTR,arithmetic,False,False,False,False
10,ADDHX1MTR,arithmetic,False,False,False,False
11,ADDHX2MTR,arithmetic,False,False,False,False
12,ADDHX4MTR,arithmetic,False,False,False,False
13,ADDHX8MTR,arithmetic,False,False,False,False
14,AND2X12MTR,complex,False,False,False,False
15,AND2X1MTR,complex,False,False,False,False
16,AND2X2MTR,complex,False,False,False,False
17,AND2X4MTR,complex,False,False,False,False
18,AND2X6MTR,complex,False,False,False,False
19,AND2X8MTR,complex,False,False,False,False
20,AND3X12MTR,complex,False,False,False,False
21,AND3X1MTR,complex,False,False,False,False
22,AND3X2MTR,complex,False,False,False,False
23,AND3X4MTR,complex,False,False,False,False
24,AND3X6MTR,complex,False,False,False,False
25,AND3X8MTR,complex,False,False,False,False
26,AND3XLMTR,complex,False,False,False,False
27,AND4X12MTR,complex,False,False,False,False
28,AND4X1MTR,complex,False,False,False,False
29,AND4X2MTR,complex,False,False,False,False
30,AND4X4MTR,complex,False,False,False,False
31,AND4X6MTR,complex,False,False,False,False
32,AND4X8MTR,complex,False,False,False,False
33,AND4XLMTR,complex,False,False,False,False
34,AO21X1MTR,complex,False,False,False,False
35,AO21X2MTR,complex,False,False,False,False
36,AO21X4MTR,complex,False,False,False,False
37,AO21X8MTR,complex,False,False,False,False
38,AO21XLMTR,complex,False,False,False,False
39,AO22X1MTR,complex,False,False,False,False
40,AO22X2MTR,complex,False,False,False,False
41,AO22X4MTR,complex,False,False,False,False
42,AO22X8MTR,complex,False,False,False,False
43,AO22XLMTR,complex,False,False,False,False
