,Layer,Rule,Category,Description,Value
0,GT,GT_1a,Width,GT width for 1.2V/1.5V NMOS/PMOS transistor is 0.13,0.13
1,GT,GT_2,Width,"Interconnect width is 0.13um, exclude SRAM region",0.13
2,GT,GT_3,Spacing,"Space between GTs is 0.18 (exclude INDMY region), exclude SRAM region",0.18
3,GT,GT_4,Spacing,"Space between AA and GT on field oxide is 0.07 (exclude INDMY region), (GT INTERACT (GT AND OPCBP))",0.07
4,GT,GT_5,Extension,"Extension of AA outside of GT is 0.23, exclude SRAM region",0.23
5,GT,GT_6,Extension,"Extension of GT outside of AA is 0.17, exclude SRAM region",0.17
6,GT,GT_8,Restrictions,No bent GT on AA are allowed. All GT patterns on AA have to be orthogonal to AA edge (exclude INDMY region),
7,GT,GT_9a,Extension,NLL extension outside of poly resistor is 0.18,0.18
8,GT,GT_9b,Extension,NLH extension outside of poly resistor is 0.18,0.18
9,GT,GT_9c,Extension,SN extension outside of poly resistor is 0.18,0.18
10,GT,GT_9d,Extension,PLL extension outside of poly resistor is 0.18,0.18
11,GT,GT_9e,Extension,PLH extension outside of poly resistor is 0.18,0.18
12,GT,GT_9f,Extension,SP extension outside of poly resistor is 0.18,0.18
13,GT,GT_10a,Spacing,Space between a NLL and a P- type poly resistor is 0.18,0.18
14,GT,GT_10b,Spacing,Space between a NLH and a P- type poly resistor is 0.18,0.18
15,GT,GT_10c,Spacing,Space between a SN and a P- type poly resistor is 0.18,0.18
16,GT,GT_10d,Spacing,Space between a PLL and a N- type poly resistor is 0.18,0.18
17,GT,GT_10e,Spacing,Space between a PLH and a N- type poly resistor is 0.18,0.18
18,GT,GT_10f,Spacing,Space between a SP and a N- type poly resistor is 0.18,0.18
19,GT,GT_11,Enclosure,GT used as MOS gate poly must be enclosed by SN or SP(except HRP resistor region),
20,GT,GT_13_R,Area,"For small MOS(channel width <= 0.3um), Max AA size along channel width direction from the turning point when L-shape or H-shape AA space to GT is >= 0.07um and <= 0.08um, is 0.075um, exclude SRAM region",>=0.07um && <=0.08um
21,GT,GT_14_R,Spacing,Space between two CTs on poly (poly width < 0.24um) to avoid voltage drop is <= 1.0um.,<=1.0um
22,GT,GT_15_R,Area,Poly area is >= 0.09,>=0.09
23,GT,GT_16_R,Area,Enclosed poly area is >= 0.15um,>=0.15um
