,Layer,Rule,Category,Description,Value
0,GT,PO.W.1,Width,Width  >=  0.06 um,>= 0.06 um
1,GT,PO.S.1,Spacing,Space  >=  0.12 um,>= 0.12 um
2,GT,PO.S.2,Spacing,GATE space in the same OD  >=  0.13 um.,>= 0.13 um
3,GT,PO.W.2,Length,Channel length of 2.5V MOS  >=  0.28 um,>= 0.28 um
4,GT,PO.W.3,Length,Channel length of 3.3V MOS (except gate without PO CO in RFDMY)  >=  0.38 um,>= 0.38 um
5,GT,PO.W.4,Length,Channel length of 1.8V MOS  >=  0.2 um,>= 0.2 um
6,GT,PO.W.5,Width,Width of 45 degree FIELD poly  >=  0.19 um,>= 0.19 um
7,GT,PO.S.16,Spacing,Space to 45 degree FIELD poly  >=  0.19 um,>= 0.19 um
8,GT,PO.S.2.1,Spacing,Gate space [either one channel length  >  0.09 um]  >=  0.15 um,>= 0.15 um
9,GT,PO.S.3,Spacing,"Min. two 1.8V , 2.5V or 3.3V POLY space on OD w/o contact  >=  0.25 um",>= 0.25 um
10,GT,PO.S.4,Spacing,Field PO space to OD  >=  0.05 um,>= 0.05 um
11,GT,PO.S.4.1,Spacing,Gate space when the area enclosed by (L-shape OD & PO  <  0.0121 um2)  >=  0.15 um,>= 0.15 um
12,GT,PO.S.5,Spacing,Space to L-shape OD when PO & OD are in same MOS(channel width  <  0.15 ) 0.1 um,0.1 um
13,GT,PO.S.6,Spacing,L-shape PO space to OD when PO and OD are in same MOS (channel width  <  0.15 um) 0.1 um,0.1 um
14,GT,PO.S.7,Spacing,"Space if at least one PO width is  >  0.13 um ,  and the PO parallel run length is  >  0.18 um (individual projection).  >=  0.18",>= 0.18
15,GT,PO.S.9,Spacing,Space of {PO AND RPO}  >=  0.25,>= 0.25
16,GT,PO.S.10,Spacing,"Space at PO line-end (W < Q1 = 0.090) in a dense-line-end configuration: If PO has parallel run length with opposite PO (measured with T1 = 0.035 extension) along 2 adjacent edges of PO [any one edge  < Q1 distance from the corner of the two edges] ,  then one of the space (S1 or S2) needs to be at least this value (except for small jog with edge length  <  0.06 um(R))  >=  0.14",>= 0.14
17,GT,PO.EX.1,Extension,Extension on OD (end-cap)  >=  0.14,>= 0.14
18,GT,PO.EX.2,Extension,OD extension on PO  >=  0.115,>= 0.115
19,GT,PO.EX.3,Extension,"Extension on OD (end-cap) when the PO space to L-shape OD (in the same MOS) is  <  0.1 um ,  and the channel width (W) is  >=  0.15 um.  >=  0.16",>= 0.16
20,GT,PO.L.1,Length,"Maximum PO length between 2 contacts ,  as well as the length bewteen one contact and the end of PO gate ,  when the PO width   <  0.13 um (except RTMOM region)  <=   25.0 um",<= 25.0 um
21,GT,PO.A.1,Area,Area  >=  0.042,>= 0.042
22,GT,PO.A.1.1,Area,Area {PO not interacting with Gate}  >=  0.051,>= 0.051
23,GT,PO.A.2,Area,Enclosed area  >=  0.094,>= 0.094
24,AA,OD.W.1,Width,Width  >=  0.08,>= 0.08
25,AA,OD.W.2,Width,Width of MOS ( <=  1.2V) [for core device]  >=  0.12,>= 0.12
26,AA,OD.W.3,Width,Width of MOS ( >  1.2V to  <=  3.3V) [for I/O device]  >=  0.4,>= 0.4
27,AA,OD.W.4,Width,"Width of 45 degree bent OD Please make sure the vertex of 45 degree pattern is on 5nm grid (refer to the guideline ,  G.6gU ,  in section 3.7)  >=  0.18",>= 0.18
28,AA,OD.S.1,Spacing,Space  >=  0.11,>= 0.11
29,AA,OD.S.2,Spacing,Space (inside OD2)  >=  0.18,>= 0.18
