name, type, value, note
CT_W, CT, 0.22, ''
CT_S, CT, 0.25, ''
CT_EN_M1_MIN, CT, 0.005, ''
CT_EN_M1_END, CT, 0.06, ''
CT_EN_AA,CT,0.10,''
M1_W, M1, 0.23, ''
M1_S, M1, 0.23, ''
V1_W, V1, 0.26, ''
V1_S, V1, 0.26, ''
V1_EN_M1_END, V1, 0.06,''
M2_W, M2, 0.28, ''
M2_S, M2, 0.28, ''
V2_W, V2, 0.26, ''
V2_S, V2, 0.26, ''
V2_EN_M2_END, V2, 0.06,''
M3_W, M3, 0.23, ''
M3_S, M3, 0.23, ''
V3_W, V3, 0.26, ''
V3_EN_M3_END, V3, 0.06,''
V3_S, V3, 0.26, ''
M4_W, M4, 0.28, ''
M4_S, M4, 0.28, ''
V4_W, V4, 0.26, ''
V4_S, V4, 0.26, ''
V4_EN_M4_END, V4, 0.06,''
M5_W, M5, 0.28, ''
M5_S, M5, 0.28, ''
V5_W, V5, 0.26, ''
V5_S, V5, 0.26, ''
V5_EN_M5_END, V5, 0.06,''
M6_W, M6, 0.28, ''
M6_S, M6, 0.28, ''
RING_TO_RES, RING, 0.28, 'Ring AA to RES Box'
RING_TO_MOS, RING, 0.28, 'Ring AA to MOS Box'
RING_1CT, RING, 0.46, ''
RING_2CT, RING, 0.96, ''
RING_AA_EN_M1, RING, 0.06, ''
RING_SP_EN_AA, RING, 0.18, ''
RING_SN_EN_AA, RING, 0.18, ''
RING_NW_EN_AA, RING, 0.43, ''
PMOS_BOX_X, PMOS, 0.91, ''
PMOS_BOX_Y, PMOS, 0.43, ''
PMOS_GT_CT, PMOS, 0.16, ''
PMOS_AA_CT, PMOS, 0.10, ''
PMOS_GT_EXT, PMOS, 0.22, ''
NMOS_BOX_X, NMOS, 0.91, ''
NMOS_BOX_Y, NMOS, 0.43, ''
NMOS_GT_CT, NMOS, 0.16, ''
NMOS_AA_CT, NMOS, 0.10, ''
NMOS_GT_EXT, NMOS, 0.22, ''
MOS_SD_W, MOS, 0.40, ''
MOS_GT_GT_PIN_H, MOS, 0.42, ''
MOS_GT_M1_PIN_EN, MOS, 0.125, ''
RES_BOX_X, RES, 0.18, ''
RES_BOX_Y, RES, 0.22, ''
RES_PO_S, RES, 0.25, ''
RES_PO_EXT, RES, 0.54, ''
CAP_BOX_X,  CAP, 2.4, ''
CAP_BOX_Y,  CAP, 2.4, ''
CAP_BOX_M5, CAP, 2.4, ''
CAP_BOX_M6, CAP, 2.0, ''
