I47 nmos3v 43.135000 4.000000 46.155000 19.260000  44.045000 4.430000 R0 1.2u 14.4u
I46 nmos3v 50.455000 4.000000 53.475000 19.260000  51.365000 4.430000 R0 1.2u 14.4u
M6 nmos3v 48.015000 4.000000 51.035000 19.260000  48.925000 4.430000 R0 1.2u 14.4u
M5 nmos3v 45.575000 4.000000 48.595000 19.260000  46.485000 4.430000 R0 1.2u 14.4u
R2 rnhpoly 82.870000 17.485000 85.560000 21.025000  83.090000 17.665000 MXR90 2.1u 1u 2
R3 rnhpoly 56.005000 17.230000 58.695000 21.050000  58.475000 20.870000 MYR90 2.38u 1u 2
M4.1 pmos3v 4.210000 5.790000 7.610000 27.650000  7.120000 6.220000 MY 2u 21u
M7.4 nmos3v 36.515000 4.070000 38.695000 19.930000  38.205000 4.500000 MY 1.2u 15u
C1.2 mimcap 28.215000 21.060000 61.015000 53.860000  30.615000 23.460000 R0 28u 28u
C1.1 mimcap 61.015000 21.060000 93.815000 53.860000  63.415000 23.460000 R0 28u 28u
M4.2 pmos3v 11.830000 5.790000 15.650000 27.650000  12.740000 6.220000 R0 2u 21u
M16.3 nmos3v 60.795000 4.070000 63.195000 14.930000  61.285000 4.500000 R0 1u 10u
M16.1 nmos3v 57.715000 4.070000 60.115000 14.930000  58.205000 4.500000 R0 1u 10u
M15.7 nmos3v 90.535000 4.070000 92.935000 14.930000  91.025000 4.500000 R0 1u 10u
M15.5 nmos3v 87.455000 4.070000 89.855000 14.930000  87.945000 4.500000 R0 1u 10u
M17.7 nmos3v 73.115000 4.070000 75.515000 14.930000  73.605000 4.500000 R0 1u 10u
M17.5 nmos3v 70.035000 4.070000 72.435000 14.930000  70.525000 4.500000 R0 1u 10u
M17.3 nmos3v 66.955000 4.070000 69.355000 14.930000  67.445000 4.500000 R0 1u 10u
M17.1 nmos3v 63.875000 4.070000 66.275000 14.930000  64.365000 4.500000 R0 1u 10u
M21.2 pmos3v 37.230000 55.740000 40.630000 77.600000  40.140000 56.170000 MY 2u 21u
M21.4 pmos3v 42.310000 55.740000 45.710000 77.600000  45.220000 56.170000 MY 2u 21u
M21.6 pmos3v 47.390000 55.740000 50.790000 77.600000  50.300000 56.170000 MY 2u 21u
M21.8 pmos3v 52.470000 55.740000 55.870000 77.600000  55.380000 56.170000 MY 2u 21u
M21.10 pmos3v 57.550000 55.740000 60.950000 77.600000  60.460000 56.170000 MY 2u 21u
M21.12 pmos3v 62.630000 55.740000 66.030000 77.600000  65.540000 56.170000 MY 2u 21u
M21.14 pmos3v 67.710000 55.740000 71.110000 77.600000  70.620000 56.170000 MY 2u 21u
