*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****             Interconnect Capacitance Table           ************
***********************************************************************

Process: 	0.11um Mixed Signal 1P8M Salicide, Dual Voltage (1.2V/3.3V)
Version: 	1.24
Date: 		2015-1-16
Corner:  	Typical
Structure: 	Structure-2 (Parallel lines between two plates)
(Please refer to SMIC SPICE document for the definition of each capacitance)


**************************
* Layers:	M2-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.144	0.133	2.89E-01	2.00E-02	2.64E-02	1.04E-02	1.39E-02	1.19E-01	4.78E-03	6.27E-03
0.144	0.153	2.64E-01	2.13E-02	2.81E-02	1.04E-02	1.39E-02	1.04E-01	5.42E-03	7.12E-03
0.144	0.173	2.44E-01	2.25E-02	2.98E-02	1.04E-02	1.39E-02	9.33E-02	6.05E-03	7.95E-03
0.144	0.200	2.23E-01	2.42E-02	3.20E-02	1.04E-02	1.39E-02	8.15E-02	6.89E-03	9.05E-03
0.144	0.250	1.97E-01	2.73E-02	3.59E-02	1.04E-02	1.39E-02	6.55E-02	8.42E-03	1.10E-02
0.144	0.300	1.81E-01	3.02E-02	3.97E-02	1.04E-02	1.39E-02	5.42E-02	9.87E-03	1.29E-02
0.144	0.400	1.61E-01	3.55E-02	4.64E-02	1.04E-02	1.39E-02	3.89E-02	1.25E-02	1.63E-02
0.144	0.500	1.51E-01	4.02E-02	5.22E-02	1.04E-02	1.39E-02	2.88E-02	1.49E-02	1.92E-02
0.144	0.600	1.45E-01	4.42E-02	5.71E-02	1.04E-02	1.39E-02	2.18E-02	1.69E-02	2.16E-02
0.144	0.800	1.40E-01	5.02E-02	6.45E-02	1.04E-02	1.39E-02	1.27E-02	1.99E-02	2.53E-02
0.144	1.000	1.39E-01	5.41E-02	6.93E-02	1.04E-02	1.39E-02	7.56E-03	2.18E-02	2.77E-02
0.144	1.200	1.38E-01	5.66E-02	7.23E-02	1.04E-02	1.39E-02	4.53E-03	2.31E-02	2.92E-02
0.144	1.400	1.38E-01	5.82E-02	7.41E-02	1.04E-02	1.39E-02	2.74E-03	2.39E-02	3.01E-02
0.144	1.600	1.38E-01	5.91E-02	7.52E-02	1.04E-02	1.39E-02	1.70E-03	2.43E-02	3.07E-02
0.144	1.800	1.38E-01	5.96E-02	7.59E-02	1.04E-02	1.39E-02	1.09E-03	2.46E-02	3.10E-02
0.144	2.000	1.38E-01	6.00E-02	7.63E-02	1.04E-02	1.39E-02	7.32E-04	2.48E-02	3.12E-02
0.144	2.500	1.38E-01	6.03E-02	7.67E-02	1.04E-02	1.39E-02	3.47E-04	2.49E-02	3.14E-02
0.144	3.000	1.38E-01	6.05E-02	7.69E-02	1.04E-02	1.39E-02	2.04E-04	2.50E-02	3.15E-02
0.144	4.000	1.38E-01	6.06E-02	7.70E-02	1.04E-02	1.39E-02	9.81E-05	2.51E-02	3.16E-02
0.144	5.000	1.38E-01	6.06E-02	7.71E-02	1.04E-02	1.39E-02	5.78E-05	2.51E-02	3.16E-02
0.144	7.000	1.38E-01	6.07E-02	7.71E-02	1.04E-02	1.39E-02	2.69E-05	2.51E-02	3.16E-02
0.144	10.000	1.38E-01	6.07E-02	7.71E-02	1.04E-02	1.39E-02	1.24E-05	2.51E-02	3.16E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

************************************
* Layers:	M2-M1-POLY (on AA) *
************************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.144	0.133	2.92E-01	2.87E-02	2.63E-02	1.53E-02	1.39E-02	1.17E-01	6.70E-03	6.22E-03
0.144	0.153	2.67E-01	3.05E-02	2.80E-02	1.53E-02	1.39E-02	1.02E-01	7.61E-03	7.06E-03
0.144	0.173	2.47E-01	3.23E-02	2.97E-02	1.53E-02	1.39E-02	9.11E-02	8.50E-03	7.90E-03
0.144	0.200	2.27E-01	3.47E-02	3.19E-02	1.53E-02	1.39E-02	7.90E-02	9.69E-03	9.01E-03
0.144	0.250	2.02E-01	3.89E-02	3.59E-02	1.53E-02	1.39E-02	6.28E-02	1.18E-02	1.10E-02
0.144	0.300	1.86E-01	4.28E-02	3.96E-02	1.53E-02	1.39E-02	5.12E-02	1.38E-02	1.28E-02
0.144	0.400	1.68E-01	4.99E-02	4.63E-02	1.53E-02	1.39E-02	3.57E-02	1.73E-02	1.62E-02
0.144	0.500	1.59E-01	5.58E-02	5.19E-02	1.53E-02	1.39E-02	2.56E-02	2.03E-02	1.90E-02
0.144	0.600	1.55E-01	6.07E-02	5.64E-02	1.53E-02	1.39E-02	1.87E-02	2.27E-02	2.13E-02
0.144	0.800	1.51E-01	6.75E-02	6.30E-02	1.53E-02	1.39E-02	1.02E-02	2.61E-02	2.45E-02
0.144	1.000	1.50E-01	7.16E-02	6.69E-02	1.53E-02	1.39E-02	5.62E-03	2.82E-02	2.65E-02
0.144	1.200	1.50E-01	7.40E-02	6.92E-02	1.53E-02	1.39E-02	3.14E-03	2.94E-02	2.77E-02
0.144	1.400	1.49E-01	7.53E-02	7.05E-02	1.53E-02	1.39E-02	1.79E-03	3.00E-02	2.83E-02
0.144	1.600	1.49E-01	7.61E-02	7.12E-02	1.53E-02	1.39E-02	1.07E-03	3.04E-02	2.86E-02
0.144	1.800	1.49E-01	7.65E-02	7.16E-02	1.53E-02	1.39E-02	6.82E-04	3.06E-02	2.88E-02
0.144	2.000	1.49E-01	7.67E-02	7.18E-02	1.53E-02	1.39E-02	4.70E-04	3.07E-02	2.89E-02
0.144	2.500	1.49E-01	7.69E-02	7.20E-02	1.53E-02	1.39E-02	2.37E-04	3.08E-02	2.91E-02
0.144	3.000	1.49E-01	7.70E-02	7.21E-02	1.53E-02	1.39E-02	1.45E-04	3.09E-02	2.91E-02
0.144	4.000	1.49E-01	7.71E-02	7.22E-02	1.53E-02	1.39E-02	7.09E-05	3.09E-02	2.92E-02
0.144	5.000	1.49E-01	7.71E-02	7.22E-02	1.53E-02	1.39E-02	3.23E-05	3.09E-02	2.92E-02
0.144	7.000	1.49E-01	7.72E-02	7.22E-02	1.53E-02	1.39E-02	1.44E-05	3.09E-02	2.92E-02
0.144	10.000	1.50E-01	7.72E-02	7.23E-02	1.53E-02	1.39E-02	9.01E-06	3.10E-02	2.92E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M3-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.144	0.133	2.85E-01	2.08E-02	9.33E-03	1.04E-02	4.49E-03	1.22E-01	5.18E-03	2.42E-03
0.144	0.153	2.59E-01	2.21E-02	9.89E-03	1.04E-02	4.49E-03	1.08E-01	5.81E-03	2.70E-03
0.144	0.173	2.38E-01	2.33E-02	1.04E-02	1.04E-02	4.49E-03	9.75E-02	6.42E-03	2.98E-03
0.144	0.200	2.17E-01	2.49E-02	1.12E-02	1.04E-02	4.49E-03	8.60E-02	7.25E-03	3.35E-03
0.144	0.250	1.90E-01	2.79E-02	1.25E-02	1.04E-02	4.49E-03	7.08E-02	8.74E-03	4.03E-03
0.144	0.300	1.71E-01	3.08E-02	1.39E-02	1.04E-02	4.49E-03	6.00E-02	1.02E-02	4.70E-03
0.144	0.400	1.49E-01	3.63E-02	1.65E-02	1.04E-02	4.49E-03	4.56E-02	1.29E-02	6.00E-03
0.144	0.500	1.36E-01	4.12E-02	1.89E-02	1.04E-02	4.49E-03	3.61E-02	1.54E-02	7.20E-03
0.144	0.600	1.28E-01	4.57E-02	2.11E-02	1.04E-02	4.49E-03	2.93E-02	1.76E-02	8.31E-03
0.144	0.800	1.20E-01	5.32E-02	2.49E-02	1.04E-02	4.49E-03	2.00E-02	2.14E-02	1.02E-02
0.144	1.000	1.16E-01	5.90E-02	2.78E-02	1.04E-02	4.49E-03	1.41E-02	2.43E-02	1.17E-02
0.144	1.200	1.14E-01	6.33E-02	3.01E-02	1.04E-02	4.49E-03	1.00E-02	2.64E-02	1.28E-02
0.144	1.400	1.13E-01	6.66E-02	3.18E-02	1.04E-02	4.49E-03	7.18E-03	2.81E-02	1.36E-02
0.144	1.600	1.13E-01	6.90E-02	3.31E-02	1.04E-02	4.49E-03	5.17E-03	2.93E-02	1.43E-02
0.144	1.800	1.12E-01	7.07E-02	3.40E-02	1.04E-02	4.49E-03	3.77E-03	3.01E-02	1.47E-02
0.144	2.000	1.12E-01	7.20E-02	3.47E-02	1.04E-02	4.49E-03	2.74E-03	3.08E-02	1.51E-02
0.144	2.500	1.12E-01	7.39E-02	3.57E-02	1.04E-02	4.49E-03	1.28E-03	3.17E-02	1.56E-02
0.144	3.000	1.12E-01	7.47E-02	3.61E-02	1.04E-02	4.49E-03	6.57E-04	3.21E-02	1.58E-02
0.144	4.000	1.12E-01	7.53E-02	3.64E-02	1.04E-02	4.49E-03	2.45E-04	3.24E-02	1.59E-02
0.144	5.000	1.12E-01	7.54E-02	3.65E-02	1.04E-02	4.49E-03	1.24E-04	3.25E-02	1.60E-02
0.144	7.000	1.12E-01	7.55E-02	3.65E-02	1.04E-02	4.49E-03	5.22E-05	3.25E-02	1.60E-02
0.144	10.000	1.12E-01	7.56E-02	3.66E-02	1.04E-02	4.49E-03	2.21E-05	3.26E-02	1.60E-02
