ascell,s40_ln,s40_lp,s65_ln,s65_lp,s110_ln,s110_lp,c110_ln,c110_lp,t40_ln,t40_lp,t65_ln,t65_lp,c153_ln,c153_lp,x180_ln,x180_lp,x40_ln,x40_lp,xx55_ln,xx55_lp
NW  ,NW ,drawing ,NW ,drawing ,NW  ,drawing ,TB,drawing ,NW,drawing ,NW,drawing ,TB,drawing ,NW  ,drawing ,NW,drawing ,NW,drawing 
AA,AA,drawing ,AA,drawing ,AA,drawing ,TO,drawing ,OD,drawing ,OD,drawing ,TO,drawing ,PN,drawing ,RX,drawing ,ACT,drawing 
GT,GT,drawing ,GT,drawing ,GT,drawing ,GT,drawing ,PO,drawing ,PO,drawing ,GT,drawing ,GP,drawing ,PC,drawing ,PO,drawing 
SP,SP,drawing ,SP,drawing ,SP,drawing ,SP,drawing ,PP,drawing ,PP,drawing ,SP,drawing ,PP,drawing ,JZ,drawing ,PP,drawing 
SN,SN,drawing ,SN,drawing ,SN,drawing ,SN,drawing ,NP,drawing ,NP,drawing ,SN,drawing ,NP,drawing ,JX,drawing ,NP,drawing 
CT ,CT ,drawing ,CT ,drawing ,CT ,drawing ,W1,drawing ,CO,drawing ,CO,drawing ,W1,drawing ,C,drawing ,CA,drawing ,CT,drawing 
M1 ,M1 ,drawing ,M1 ,drawing ,M1 ,drawing ,A1,drawing ,M1,drawing ,M1,drawing ,A1,drawing ,M1 ,drawing ,M1,drawing ,MET1,drawing 
V1,V1,drawing ,V1,drawing ,V1,drawing ,W2,drawing ,VIA1,drawing ,VIA1,drawing ,W2,drawing ,VIA1,drawing ,V1,drawing ,V1,drawing 
M2,M2,drawing ,M2,drawing ,M2,drawing ,A2,drawing ,M2,drawing ,M2,drawing ,A2,drawing ,M2,drawing ,M2,drawing ,MET2,drawing 
BORDER,BORDER,drawing ,BORDER,drawing ,BORDER,drawing ,prBoundary,drawing ,prBoundary,drawing ,prBoundary,drawing ,prBoundary,drawing ,prBoundary,drawing ,OUTLINE,drawing ,OUTLINE,drawing 
M1TXT,MnTXT,metal1,MnTXT,metal1,M1TXT,drawing ,A1TEXT,drawing ,M1,pin,M1,pin,A1TEXT,drawing ,text,drawing ,M1,label,M1,label
SUBTXT,SUBTXT,drawing ,SUBTXT,drawing ,SUBTXT,drawing ,PT ,txt,PW ,drawing ,PW ,drawing ,PT ,txt,text,drawing ,text,drawing ,text,drawing 
