,Layer,Rule,Category,Description,Value
0,GT,PO_W_1,Width,PO width,
1,GT,PO_W_2a,Width,Channel length for 0.9/1.2V NMOS/PMOS transistors,>= 0.06um
2,GT,PO_W_2b,Width,Channel length for 1.8V NMOS/PMOS transistors,>= 0.20um
3,GT,PO_W_2c,Width,Channel length for 2.5V NMOS/PMOS transistors,>= 0.28um
4,GT,PO_W_2d,Width,Min Channel length for 3.3V NMOS transistors is 0.38   Min Channel length for 3.3V PMOS transistors is 0.38,= 0.38um
5,GT,PO_W_2f,Width,Channel length for 2.5V NMOS/PMOS transistors (over drive to 3.3V and 4.1V),">= 0.50(NMOS)um, >= 0.40(PMOS)um"
6,GT,PO_W_2e,Width,Channel length for 2.5V NMOS/PMOS transistors (under drive to 1.8V),>= 0.22um
7,GT,PO_W_3,Width,Width of 45 degree PO,>= 0.18um
8,GT,PO_S_1,Spacing,Space between two POs,>= 0.12um
9,GT,PO_S_2,Spacing,"Space between two POs when one or both PO width is >= 0.13um, and the run length of two POs is >= 0.18um",>= 0.18um
10,GT,PO_S_3,Spacing,Space between two POs on ACT,>= 0.13um
11,GT,PO_S_4_R,Spacing,Recommended Space between POs on the same ACT,>= 0.2um
12,GT,PO_S_5,Spacing,Space between POs on the same ACT inside TGOX,>= 0.24um
13,GT,PO_S_6,Spacing,"Space to 45-degree PO, except EFUSEALL and FUSEALL region",>= 0.19um
14,GT,PO_S_7,Spacing,GATE space when L-shape ACT and L-shape PO enclosed area is < 0.012um2,>= 0.15um
15,GT,PO_S_7a_R,Spacing,Recommended GATE space when L-shape ACT and L-shape PO enclosed area is < 0.0196um2,>= 0.2um
16,GT,PO_S_8_R,Spacing,Recommended space of GATE (channel length <= 0.08um) to neighboring poly for thr CDU control,<= 1.0
17,GT,PO_S_9,Spacing,Space between PO dense line end to line (Dh) or PO line to line (Ds) when: 1. PO line end definition: PO width < 0.09um 2. Run length of PO line to line or PO line to end: E1 >= -0.03um 3. Any one edge distance from the corner of the two edges: K1 < 0.14um Any one of Dh or Ds meet this rule value is ok,>= 0.14um
18,GT,PO_S_11,Spacing,Space between ACT and PO on STI,>= 0.05um
19,GT,PO_S_12,Spacing,Minimum space of PO within SAB,>= 0.25
