,Layer,Rule,Category,Description,Value
0,GT,GT.a.1,Width,Min width for interconnects,>= 0.18um
1,GT,GT.a.2,Width,Min width for gate of HVNMOS(5.0V),>= 0.5um
2,GT,GT.a.3,Width,Min width for gate of HVPMOS(5.0V),>= 0.42um
3,GT,GT.b.1,Spacing,Min spacing between two GT regions,>= 0.212um
4,GT,GT.b.2,Spacing,Min spacing between two GT regions with contact on active area,>= 0.318um
5,GT,GT.b.3,Spacing,Min spacing between two GT regions without contact on active area,>= 0.25um
6,GT,GT.c,Extension,Min extension of poly end cap,>= 0.186um
7,GT,GT.d,Extension,Min extension from active to GT,>= 0.27um
8,GT,GT.e,Spacing,Min spacing of poly to active,>= 0.084um
9,GT,GT.f,Length,Max length of salicide poly on SAB between two contacts,<= 50um (when poly width <= 0.24um)
10,GT,GT.f,Length,Max length of salicide poly on SAB between one contact and poly line end,<= 50um (when poly width <= 0.24um)
11,GT,GT.g1,Width,Min GT width for NMOS channel length with 45 degree bent on TO,>= 0.54um
12,GT,GT.g2,Width,Min GT width for PMOS channel length with 45 degree bent on TO,>= 0.46um
13,GT,GT.g3,Width,Min GT width for channel length with 45 degree bent on field oxide,>= 0.26um
14,GT,GT.h,Restrictions,GT must enter the TO region perpendicularly (horizontal or vertical direction),N/A
15,GT,GT.i.1,Restrictions,90 degree bend on active region is not allowed,N/A
16,GT,GT.i.2,Restrictions,90 degree bend on active region is not allowed,N/A
17,GT,GT.k,Spacing,Min space between poly interconnects with one or both poly width and length greater than 0.28um and 0.5um respectively,>= 0.22um
18,AA,TO.a.1,Width,Min active width for interconnect,>= 0.186um
19,AA,TO.b.1,Width,Active width for NMOS,>= 0.186um
20,AA,TO.b.2,Width,Active width for PMOS,>= 0.186um
21,AA,TO.c,Spacing,Min spacing of TO,>= 0.238um
22,AA,TO.d,Extension,Min extension from NW edge to an NW pick-up,>= 0.102um
23,AA,TO.e.2,Spacing,Min spacing of NW edge to an N+active outside NW(5v),>= 0.45um
24,AA,TO.f.2,Spacing,Min spacing of NW edge to an P+active inside NW(5v),>= 0.45um
25,AA,TO.g,Spacing,Min spacing of NW edge to an P+active(PW pick-up) outside NW,>= 0.102um
26,AA,TO.h.1,Spacing,Min spacing of poly edge to the edge of butted diffusion active,>= 0.272um
27,AA,TO.h.2,Spacing,Min spacing of poly edge to the edge of butted diffusion active,>= 0.272um
28,AA,TO.i,Spacing,Min spacing of N+active to P+active for butted diffusion active,>= 0
29,AA,TO.j,Length,One segment of the consecutive SN/SP edge of a butted diffusion active should be longer than,> 0.326um
30,AA,TO.k,Spacing,Spacing of N-pick-up to P-pick-up when NW and PW pick-up are put head-to-head across the boundary of the well,== 0.304um
31,AA,TO.l,Area,Min active area of a stand-alone region,>= 0.2um2
32,AA,TO.m,Area,Min active area of butted diffusion,>= 0.13um2
33,AA,TO.n,Restrictions,Length and width should be less than,< 60um
34,AA,TO.note,Restrictions,Active not doped is not allowed,Not allowed
35,CT,W1.a,Width,Min&Max Contact size must be == 0.186um,== 0.186um
36,CT,W1.b,Spacing,Min W1 to W1 space must be >= 0.212um,>= 0.212um
37,CT,W1.c,Spacing,Min space when the row and column numbers are both greater than 3 in the contact array must be >= 0.238um,>= 0.238um
38,CT,W1.d,Spacing,Min space of poly contact to active edge must be >= 0.144um,>= 0.144um
39,CT,W1.e,Spacing,Min space of poly to contact on active must be >= 0.14um,>= 0.14um
40,CT,W1.f,Enclosure,Min enclosure of active beyond contact must be >= 0.07um,>= 0.07um
41,CT,W1.g,Enclosure,Min enclosure of poly beyond contact must be >= 0.07um,>= 0.07um
42,CT,W1.h,Enclosure,Min enclosure of P+active beyond contact must be >= 0.102um,>= 0.102um
43,CT,W1.i,Enclosure,Min enclosure of N+active beyond contact must be >= 0.102um,>= 0.102um
44,CT,W1.j,Restrictions,Contact on poly region is forbidden.,Forbidden
45,CT,W1.k,Restrictions,Contact on active is not allowed to locate on the boundary of SN and SP.,Not allowed
46,CT,W1.m,Restrictions,W1 without the cover of (GATE or ACT) is not allowed.,Not allowed
47,CT,W1.note,Restrictions,W1 on the body of any resistor is not allowed.,Not allowed
48,M1,A1.a,Width,Min A1 width must be >= 0.194um,>= 0.194um
49,M1,A1.b,Spacing,Min A1 space must be >= 0.194um,>= 0.194um
50,M1,A1.c_d,Enclosure,Min enclosure of A1 region over contact region must be >= 0.004um,>= 0.004um
51,M1,A1.c_d,Enclosure,"Min enclosure of A1 line end region beyond contact region must be >= 0.05um (when contact at 90 degree corner, one side of metal enclosure must be considered as line end region)",>= 0.05um
52,M1,A1.e,Spacing,Minimum space between M1 lines with one or both metal line width and length are greater than 10um is 0.476um. The minimum space must be maintained between a metal line and a small piece of metal (< 10) that is connected to the wide metal within 1.0um range from the wide metal,>= 0.476um
53,M1,A1.g,Area,Min A1 area must be >= 0.2um2,>= 0.2um2
