,nodes,devices
FILLERCAP8,3,1
FILLERCAP6,3,1
FILLERCAP3,3,1
FILLERCAP4,3,1
TIELO,4,2
TIEHI,4,2
INV0D0,4,2
CKINVD0,4,2
INV0D1,4,2
INV0DM,4,2
CKINVD1,5,3
PULLU,5,3
PULLD,5,3
CKINVDM,5,3
ND02D0,6,4
CKND02D1,6,4
CKBUFD0,6,4
CKND02D0,6,4
BUFFDM,6,4
BUFFD0,6,4
FILLERCAP16,6,4
INV0D2,6,4
CKINVD2,6,4
NR02D0,6,4
NR02D1,6,4
NR02DM,6,4
INV0DP,6,4
ND02DM,6,4
BUFFD1,6,4
ND02D1P5,6,4
ND02D1,6,4
CKBUFDM,7,5
CKBUFD1,7,5
BH01D1,7,5
CKBUFD2,7,5
OR02DM,8,6
AN02D0,8,6
ND03D0,8,6
INV0D3,8,6
CKINVD3,8,6
ND03D1,8,6
AN02D1,8,6
AN02D1P5,8,6
OR02D1,8,6
NR12D0,8,6
OR02D0,8,6
AN02DM,8,6
BUFFD2,8,6
OAI21D0,8,6
NR12DM,8,6
OAI21D1,8,6
CKNR02D0,8,6
AOI21D0,8,6
AOI21D1,8,6
CKANDD0,8,6
ND12DM,8,6
AOI21DM,8,6
NR12D1,8,6
OAI21DM,8,6
NR03D1,8,6
ND12D1,8,6
NR03D0,8,6
CKNR02D1,8,6
ND12D0,8,6
NR12D1P5,8,6
CKOR02D0,8,6
OR02D1P5,8,6
ND02OD,9,7
CKANDD2,9,7
CKANDD1,9,7
OR02OD,9,7
BUFFD3,10,8
OAI211D1,10,8
OAI21MD0,10,8
OAI21MD1,10,8
OAI211D0,10,8
NR04D1,10,8
INV0D4,10,8
OAIM21D0,10,8
OAIM21DM,10,8
OR02D2,10,8
OR03D0,10,8
OR03D1,10,8
OR03DM,10,8
OAI31D1,10,8
OAI31D0,10,8
ORA21D0,10,8
OAI2M1D1,10,8
OAI2M1D0,10,8
OAI22DM,10,8
DL01D1,10,8
DL01DM,10,8
DL02D1,10,8
NR04D0,10,8
OAI22D1,10,8
OAI22D0,10,8
CKOR02D1,10,8
CKNR02D2,10,8
CKINVD4,10,8
CKBUFD3,10,8
CKND02D2,10,8
OAIM21D1,10,8
AOI211D1,10,8
AOI211D0,10,8
AOI31D1,10,8
ND13D1,10,8
ND13D0,10,8
AOI21MD0,10,8
AOI21MD1,10,8
AOIM21DM,10,8
ND02D2,10,8
AOIM21D1,10,8
AOIM21D0,10,8
ND02D2P5,10,8
ND04D1,10,8
ND04D0,10,8
AOI22D0,10,8
AOI22D1,10,8
AOI22DM,10,8
AOI2M1D0,10,8
AOI2M1D1,10,8
AOI31D0,10,8
AOR21D0,10,8
AOR21D1,10,8
AOI31DM,10,8
AN03D0,10,8
AN03DM,10,8
NR13D0,10,8
AN02D2,10,8
AN03D1,10,8
NR13D1,10,8
NR02D2,10,8
ORA21D1,11,9
ND03OD,11,9
OAI32D0,12,10
OR03D2,12,10
ND14D1,12,10
AN04D1,12,10
OAIM22D1,12,10
AOR22D0,12,10
CKINVD5,12,10
ORA22D1,12,10
OAIM22D0,12,10
OAIM22DM,12,10
ORA22D0,12,10
AOI221D1,12,10
AN04D0,12,10
AOI221D0,12,10
OR04D1,12,10
ND12D2,12,10
FILLERCAP32,12,10
ORA211D0,12,10
ORA211D1,12,10
AN03D2,12,10
DL02D2,12,10
ND14D0,12,10
ORA21D2,12,10
AN04DM,12,10
DL01D2,12,10
OR04D0,12,10
AOR22D1,12,10
NR14D1,12,10
NR12D2,12,10
OAI221D0,12,10
AOIM22D1,12,10
AOIM22DM,12,10
AOR211D0,12,10
AOR211D1,12,10
INVTLDM,12,10
AOIM22D0,12,10
MI02DM,12,10
ORA31D0,12,10
MI02D1,12,10
MI02D0,12,10
NR14D0,12,10
BUFTD0,12,10
NR12D2P5,12,10
AOR21D2,12,10
