_latch    , c153      , LABHB1         :  LABHB          ,  ['LA', 'B', 'H', 'B', '', '', ''] 
_latch    , c153      , LABHB2         :  LABHB          ,  ['LA', 'B', 'H', 'B', '', '', ''] 
_latch    , c153      , LABLB1         :  LABLB          ,  ['LA', 'B', 'L', 'B', '', '', ''] 
_latch    , c153      , LABLB2         :  LABLB          ,  ['LA', 'B', 'L', 'B', '', '', ''] 
_latch    , c153      , LACHB1         :  LACHB          ,  ['LA', 'C', 'H', 'B', '', '', ''] 
_latch    , c153      , LACHB2         :  LACHB          ,  ['LA', 'C', 'H', 'B', '', '', ''] 
_latch    , c153      , LACHQ1         :  LACHQ          ,  ['LA', 'C', 'H', 'Q', '', '', ''] 
_latch    , c153      , LACHQ2         :  LACHQ          ,  ['LA', 'C', 'H', 'Q', '', '', ''] 
_latch    , c153      , LACLB1         :  LACLB          ,  ['LA', 'C', 'L', 'B', '', '', ''] 
_latch    , c153      , LACLB2         :  LACLB          ,  ['LA', 'C', 'L', 'B', '', '', ''] 
_latch    , c153      , LACLQ1         :  LACLQ          ,  ['LA', 'C', 'L', 'Q', '', '', ''] 
_latch    , c153      , LACLQ2         :  LACLQ          ,  ['LA', 'C', 'L', 'Q', '', '', ''] 
_latch    , c153      , LANHB1         :  LANHB          ,  ['LA', 'N', 'H', 'B', '', '', ''] 
_latch    , c153      , LANHB2         :  LANHB          ,  ['LA', 'N', 'H', 'B', '', '', ''] 
_latch    , c153      , LANHN1         :  LANHN          ,  ['LA', 'N', 'H', 'N', '', '', ''] 
_latch    , c153      , LANHN2         :  LANHN          ,  ['LA', 'N', 'H', 'N', '', '', ''] 
_latch    , c153      , LANHQ1         :  LANHQ          ,  ['LA', 'N', 'H', 'Q', '', '', ''] 
_latch    , c153      , LANHQ2         :  LANHQ          ,  ['LA', 'N', 'H', 'Q', '', '', ''] 
_latch    , c153      , LANHT1         :  LANHQ_E        ,  ['LA', 'N', 'H', 'Q', '_E', '', ''] 
_latch    , c153      , LANHT2         :  LANHQ_E        ,  ['LA', 'N', 'H', 'Q', '_E', '', ''] 
