,nodes,devices
INVX2MTR,4,2
INVXLMTR,4,2
INVX1MTR,4,2
CLKINVX1MTR,4,2
CLKINVX2MTR,4,2
CLKINVX3MTR,5,3
CLKINVX4MTR,5,3
TIELOMTR,6,4
INVX3MTR,6,4
FILLCAP4MTR,6,4
TIEHIMTR,6,4
INVX4MTR,6,4
NOR2X1MTR,6,4
NOR2X2MTR,6,4
NOR2XLMTR,6,4
CLKNAND2X4MTR,6,4
BUFX2MTR,6,4
NAND2XLMTR,6,4
CLKNAND2X2MTR,6,4
NAND2X2MTR,6,4
CLKBUFX2MTR,6,4
CLKBUFX1MTR,6,4
NAND2X1MTR,6,4
CLKBUFX4MTR,7,5
CLKBUFX3MTR,7,5
CLKINVX6MTR,7,5
AOI21XLMTR,8,6
INVX6MTR,8,6
NAND3X1MTR,8,6
NAND3X2MTR,8,6
NAND2BX1MTR,8,6
OAI21XLMTR,8,6
CLKINVX8MTR,8,6
INVX5MTR,8,6
NAND3XLMTR,8,6
AOI21X1MTR,8,6
AOI21X2MTR,8,6
OAI21X1MTR,8,6
OAI21X2MTR,8,6
NOR3XLMTR,8,6
NAND2BX2MTR,8,6
OR2X2MTR,8,6
NAND2BXLMTR,8,6
NOR2BXLMTR,8,6
NOR3X2MTR,8,6
AND2X1MTR,8,6
OR2X1MTR,8,6
BUFX3MTR,8,6
BUFX4MTR,8,6
NOR3X1MTR,8,6
CLKAND2X2MTR,8,6
NOR2BX2MTR,8,6
NOR2BX1MTR,8,6
AND2X2MTR,8,6
CLKAND2X3MTR,9,7
CLKAND2X4MTR,9,7
CLKBUFX6MTR,9,7
AOI2B1X2MTR,10,8
AOI2BB1X2MTR,10,8
AOI2BB1X1MTR,10,8
AOI2B1XLMTR,10,8
OAI2B1XLMTR,10,8
NAND2X4MTR,10,8
AOI2BB1XLMTR,10,8
NAND4X2MTR,10,8
OAI22X1MTR,10,8
OAI2B1X2MTR,10,8
NAND4XLMTR,10,8
NOR2X3MTR,10,8
AOI31X1MTR,10,8
AOI31X2MTR,10,8
AOI31XLMTR,10,8
OAI2B1X1MTR,10,8
BUFX5MTR,10,8
INVX8MTR,10,8
OAI22X2MTR,10,8
OAI22XLMTR,10,8
NOR2X4MTR,10,8
AOI2B1X1MTR,10,8
DLY1X1MTR,10,8
NAND4X1MTR,10,8
AOI22XLMTR,10,8
AO21XLMTR,10,8
OAI2BB1X1MTR,10,8
AO21X2MTR,10,8
AO21X1MTR,10,8
OA21XLMTR,10,8
OAI2BB1X2MTR,10,8
NAND3BX2MTR,10,8
OAI2BB1XLMTR,10,8
OR3X1MTR,10,8
OAI211X1MTR,10,8
AND3XLMTR,10,8
NAND3BX1MTR,10,8
AND3X2MTR,10,8
AND3X1MTR,10,8
OA21X1MTR,10,8
NOR4XLMTR,10,8
OAI31X1MTR,10,8
OAI31X2MTR,10,8
NOR4X1MTR,10,8
OAI31XLMTR,10,8
NAND2X3MTR,10,8
OA21X2MTR,10,8
OAI211X2MTR,10,8
NAND3BXLMTR,10,8
NOR3BXLMTR,10,8
OR3X2MTR,10,8
AOI22X2MTR,10,8
NOR3BX2MTR,10,8
AOI22X1MTR,10,8
OAI211XLMTR,10,8
AOI211X1MTR,10,8
DLY2X1MTR,10,8
AOI211X2MTR,10,8
OAI21BX1MTR,10,8
OAI21BXLMTR,10,8
AOI211XLMTR,10,8
OAI21BX2MTR,10,8
NOR3BX1MTR,10,8
OR2X4MTR,10,8
DLY1X4MTR,11,9
CLKBUFX8MTR,11,9
XNOR2X1MTR,12,10
OA22XLMTR,12,10
CLKINVX12MTR,12,10
NOR4BXLMTR,12,10
FILLCAP8MTR,12,10
OA22X2MTR,12,10
OAI221X2MTR,12,10
OA21X4MTR,12,10
OAI221X1MTR,12,10
OA22X1MTR,12,10
NOR2BX4MTR,12,10
TBUFX2MTR,12,10
OAI221XLMTR,12,10
TBUFX1MTR,12,10
XNOR2XLMTR,12,10
DLY2X4MTR,12,10
XNOR2X2MTR,12,10
OR4X2MTR,12,10
NAND4BX1MTR,12,10
OAI2B2X2MTR,12,10
AOI221X2MTR,12,10
AOI221X1MTR,12,10
NAND2BX4MTR,12,10
OAI2BB2X2MTR,12,10
INVX10MTR,12,10
MXI2DX1MTR,12,10
AOI21BXLMTR,12,10
AND3X4MTR,12,10
MXI2DX2MTR,12,10
AOI21BX2MTR,12,10
AOI21BX1MTR,12,10
MXI2DXLMTR,12,10
MXI2X1MTR,12,10
MXI2X2MTR,12,10
MXI2XLMTR,12,10
OAI2BB2X1MTR,12,10
AND4X1MTR,12,10
AO22XLMTR,12,10
OAI2B2XLMTR,12,10
AO22X2MTR,12,10
AO22X1MTR,12,10
AO21X4MTR,12,10
AOI221XLMTR,12,10
AND4XLMTR,12,10
AND4X2MTR,12,10
OAI2B2X1MTR,12,10
BUFX6MTR,12,10
XOR2X1MTR,12,10
XOR2X2MTR,12,10
OAI2B11X1MTR,12,10
OAI2B11X2MTR,12,10
OAI2B11XLMTR,12,10
NOR4BX1MTR,12,10
AOI32XLMTR,12,10
AOI32X2MTR,12,10
AOI32X1MTR,12,10
NAND4BX2MTR,12,10
