*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****          SMIC Interconnect Capacitance Table         ************
***********************************************************************

Process: 	0.11um Mixed Signal 1P8M Salicide, Dual Voltage (1.2V/3.3V)
Version: 	1.0
Date: 		2010-05-06
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.144	0.143	2.71E-01	2.64E-02	1.04E-02	1.16E-01	7.97E-03
0.144	0.153	2.59E-01	2.71E-02	1.04E-02	1.09E-01	8.32E-03
0.144	0.173	2.38E-01	2.85E-02	1.04E-02	9.85E-02	9.01E-03
0.144	0.203	2.15E-01	3.05E-02	1.04E-02	8.61E-02	1.00E-02
0.144	0.253	1.88E-01	3.37E-02	1.04E-02	7.13E-02	1.16E-02
0.144	0.303	1.70E-01	3.69E-02	1.04E-02	6.09E-02	1.32E-02
0.144	0.403	1.47E-01	4.30E-02	1.04E-02	4.73E-02	1.63E-02
0.144	0.503	1.34E-01	4.84E-02	1.04E-02	3.84E-02	1.90E-02
0.144	0.603	1.25E-01	5.32E-02	1.04E-02	3.21E-02	2.14E-02
0.144	0.803	1.16E-01	6.16E-02	1.04E-02	2.36E-02	2.56E-02
0.144	1.003	1.11E-01	6.83E-02	1.04E-02	1.82E-02	2.89E-02
0.144	1.203	1.08E-01	7.38E-02	1.04E-02	1.45E-02	3.17E-02
0.144	1.403	1.07E-01	7.80E-02	1.04E-02	1.18E-02	3.38E-02
0.144	1.603	1.06E-01	8.16E-02	1.04E-02	9.81E-03	3.56E-02
0.144	1.803	1.05E-01	8.45E-02	1.04E-02	8.27E-03	3.70E-02
0.144	2.003	1.05E-01	8.69E-02	1.04E-02	7.07E-03	3.82E-02
0.144	2.503	1.04E-01	9.12E-02	1.04E-02	5.01E-03	4.04E-02
0.144	3.003	1.04E-01	9.38E-02	1.04E-02	3.74E-03	4.17E-02
0.144	4.003	1.04E-01	9.70E-02	1.04E-02	2.39E-03	4.33E-02
0.144	5.003	1.03E-01	9.85E-02	1.04E-02	1.82E-03	4.40E-02
0.144	7.003	1.03E-01	1.00E-01	1.04E-02	1.25E-03	4.48E-02
0.144	10.003	1.03E-01	1.01E-01	1.04E-02	8.61E-04	4.53E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M1-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.144	0.143	2.74E-01	3.56E-02	1.53E-02	1.13E-01	1.02E-02
0.144	0.153	2.62E-01	3.66E-02	1.53E-02	1.07E-01	1.07E-02
0.144	0.173	2.42E-01	3.86E-02	1.53E-02	9.61E-02	1.16E-02
0.144	0.203	2.19E-01	4.14E-02	1.53E-02	8.35E-02	1.30E-02
0.144	0.253	1.93E-01	4.59E-02	1.53E-02	6.85E-02	1.53E-02
0.144	0.303	1.75E-01	5.00E-02	1.53E-02	5.80E-02	1.73E-02
0.144	0.403	1.54E-01	5.77E-02	1.53E-02	4.40E-02	2.12E-02
0.144	0.503	1.42E-01	6.45E-02	1.53E-02	3.50E-02	2.46E-02
0.144	0.603	1.35E-01	7.04E-02	1.53E-02	2.87E-02	2.76E-02
0.144	0.803	1.27E-01	8.01E-02	1.53E-02	2.05E-02	3.24E-02
0.144	1.003	1.24E-01	8.75E-02	1.53E-02	1.54E-02	3.61E-02
0.144	1.203	1.22E-01	9.31E-02	1.53E-02	1.20E-02	3.89E-02
0.144	1.403	1.21E-01	9.73E-02	1.53E-02	9.53E-03	4.10E-02
0.144	1.603	1.20E-01	1.01E-01	1.53E-02	7.79E-03	4.27E-02
0.144	1.803	1.20E-01	1.03E-01	1.53E-02	6.49E-03	4.40E-02
0.144	2.003	1.19E-01	1.05E-01	1.53E-02	5.52E-03	4.50E-02
0.144	2.503	1.19E-01	1.09E-01	1.53E-02	3.86E-03	4.68E-02
0.144	3.003	1.19E-01	1.11E-01	1.53E-02	2.90E-03	4.79E-02
0.144	4.003	1.19E-01	1.13E-01	1.53E-02	1.98E-03	4.90E-02
0.144	5.003	1.19E-01	1.15E-01	1.53E-02	1.50E-03	4.97E-02
0.144	7.003	1.19E-01	1.16E-01	1.53E-02	1.06E-03	5.02E-02
0.144	10.003	1.19E-01	1.17E-01	1.53E-02	7.54E-04	5.07E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M2-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.150	2.91E-01	1.64E-02	5.61E-03	1.29E-01	5.39E-03
0.180	0.160	2.78E-01	1.67E-02	5.61E-03	1.22E-01	5.56E-03
0.180	0.180	2.55E-01	1.74E-02	5.61E-03	1.11E-01	5.88E-03
0.180	0.200	2.37E-01	1.80E-02	5.61E-03	1.02E-01	6.19E-03
0.180	0.250	2.04E-01	1.96E-02	5.61E-03	8.47E-02	6.98E-03
0.180	0.300	1.82E-01	2.10E-02	5.61E-03	7.31E-02	7.71E-03
0.180	0.400	1.53E-01	2.39E-02	5.61E-03	5.80E-02	9.17E-03
0.180	0.500	1.36E-01	2.67E-02	5.61E-03	4.84E-02	1.06E-02
0.180	0.600	1.24E-01	2.94E-02	5.61E-03	4.18E-02	1.19E-02
0.180	0.800	1.10E-01	3.43E-02	5.61E-03	3.28E-02	1.44E-02
0.180	1.000	1.02E-01	3.87E-02	5.61E-03	2.70E-02	1.66E-02
0.180	1.200	9.63E-02	4.27E-02	5.61E-03	2.28E-02	1.86E-02
0.180	1.400	9.26E-02	4.63E-02	5.61E-03	1.96E-02	2.03E-02
0.180	1.600	9.01E-02	4.95E-02	5.61E-03	1.71E-02	2.19E-02
0.180	1.800	8.83E-02	5.23E-02	5.61E-03	1.50E-02	2.33E-02
0.180	2.000	8.69E-02	5.48E-02	5.61E-03	1.33E-02	2.46E-02
0.180	2.500	8.49E-02	5.99E-02	5.61E-03	1.01E-02	2.71E-02
0.180	3.000	8.38E-02	6.38E-02	5.61E-03	7.98E-03	2.91E-02
0.180	4.000	8.28E-02	6.92E-02	5.61E-03	5.34E-03	3.18E-02
0.180	5.000	8.25E-02	7.21E-02	5.61E-03	3.91E-03	3.33E-02
0.180	7.000	8.23E-02	7.59E-02	5.61E-03	2.40E-03	3.51E-02
0.180	10.000	8.22E-02	7.80E-02	5.61E-03	1.57E-03	3.62E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M2-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.150	2.91E-01	1.79E-02	6.49E-03	1.29E-01	5.70E-03
0.180	0.160	2.78E-01	1.83E-02	6.49E-03	1.22E-01	5.89E-03
0.180	0.180	2.56E-01	1.90E-02	6.49E-03	1.11E-01	6.26E-03
0.180	0.200	2.38E-01	1.97E-02	6.49E-03	1.01E-01	6.63E-03
0.180	0.250	2.05E-01	2.15E-02	6.49E-03	8.43E-02	7.52E-03
0.180	0.300	1.82E-01	2.32E-02	6.49E-03	7.26E-02	8.35E-03
0.180	0.400	1.54E-01	2.65E-02	6.49E-03	5.74E-02	1.00E-02
0.180	0.500	1.37E-01	2.97E-02	6.49E-03	4.77E-02	1.16E-02
0.180	0.600	1.25E-01	3.27E-02	6.49E-03	4.10E-02	1.31E-02
0.180	0.800	1.11E-01	3.82E-02	6.49E-03	3.19E-02	1.59E-02
0.180	1.000	1.03E-01	4.31E-02	6.49E-03	2.60E-02	1.83E-02
0.180	1.200	9.83E-02	4.74E-02	6.49E-03	2.17E-02	2.05E-02
0.180	1.400	9.50E-02	5.12E-02	6.49E-03	1.85E-02	2.24E-02
0.180	1.600	9.27E-02	5.46E-02	6.49E-03	1.60E-02	2.40E-02
0.180	1.800	9.10E-02	5.75E-02	6.49E-03	1.40E-02	2.55E-02
0.180	2.000	8.99E-02	6.01E-02	6.49E-03	1.23E-02	2.68E-02
0.180	2.500	8.81E-02	6.53E-02	6.49E-03	9.22E-03	2.94E-02
0.180	3.000	8.72E-02	6.91E-02	6.49E-03	7.19E-03	3.13E-02
0.180	4.000	8.64E-02	7.43E-02	6.49E-03	4.74E-03	3.39E-02
0.180	5.000	8.62E-02	7.70E-02	6.49E-03	3.44E-03	3.52E-02
0.180	7.000	8.60E-02	8.03E-02	6.49E-03	2.10E-03	3.69E-02
