*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****             Interconnect Capacitance Table           ************
***********************************************************************

Process: 	0.11um Mixed Signal 1P8M Salicide, Dual Voltage (1.2V/3.3V)
Version: 	1.0
Date: 		2010-05-06
Corner:  	Typical
Structure: 	Structure-2 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


**************************
* Layers:	M2-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.144	0.143	2.76E-01	2.07E-02	2.73E-02	1.04E-02	1.39E-02	1.11E-01	5.10E-03	6.69E-03
0.144	0.153	2.64E-01	2.13E-02	2.81E-02	1.04E-02	1.39E-02	1.04E-01	5.42E-03	7.12E-03
0.144	0.173	2.44E-01	2.25E-02	2.98E-02	1.04E-02	1.39E-02	9.33E-02	6.05E-03	7.95E-03
0.144	0.203	2.21E-01	2.44E-02	3.22E-02	1.04E-02	1.39E-02	8.03E-02	6.99E-03	9.18E-03
0.144	0.253	1.96E-01	2.74E-02	3.62E-02	1.04E-02	1.39E-02	6.47E-02	8.50E-03	1.11E-02
0.144	0.303	1.80E-01	3.04E-02	3.99E-02	1.04E-02	1.39E-02	5.36E-02	9.95E-03	1.30E-02
0.144	0.403	1.61E-01	3.57E-02	4.66E-02	1.04E-02	1.39E-02	3.85E-02	1.26E-02	1.64E-02
0.144	0.503	1.51E-01	4.03E-02	5.24E-02	1.04E-02	1.39E-02	2.86E-02	1.49E-02	1.93E-02
0.144	0.603	1.45E-01	4.43E-02	5.73E-02	1.04E-02	1.39E-02	2.16E-02	1.69E-02	2.17E-02
0.144	0.803	1.40E-01	5.03E-02	6.46E-02	1.04E-02	1.39E-02	1.26E-02	1.99E-02	2.53E-02
0.144	1.003	1.39E-01	5.42E-02	6.93E-02	1.04E-02	1.39E-02	7.50E-03	2.19E-02	2.77E-02
0.144	1.203	1.38E-01	5.67E-02	7.23E-02	1.04E-02	1.39E-02	4.50E-03	2.31E-02	2.92E-02
0.144	1.403	1.38E-01	5.82E-02	7.42E-02	1.04E-02	1.39E-02	2.72E-03	2.39E-02	3.01E-02
0.144	1.603	1.38E-01	5.91E-02	7.53E-02	1.04E-02	1.39E-02	1.68E-03	2.43E-02	3.07E-02
0.144	1.803	1.38E-01	5.97E-02	7.59E-02	1.04E-02	1.39E-02	1.08E-03	2.46E-02	3.10E-02
0.144	2.003	1.38E-01	6.00E-02	7.63E-02	1.04E-02	1.39E-02	7.28E-04	2.48E-02	3.12E-02
0.144	2.503	1.38E-01	6.03E-02	7.67E-02	1.04E-02	1.39E-02	3.45E-04	2.49E-02	3.14E-02
0.144	3.003	1.38E-01	6.05E-02	7.69E-02	1.04E-02	1.39E-02	2.04E-04	2.50E-02	3.15E-02
0.144	4.003	1.38E-01	6.06E-02	7.70E-02	1.04E-02	1.39E-02	9.80E-05	2.51E-02	3.16E-02
0.144	5.003	1.38E-01	6.06E-02	7.71E-02	1.04E-02	1.39E-02	5.77E-05	2.51E-02	3.16E-02
0.144	7.003	1.38E-01	6.07E-02	7.71E-02	1.04E-02	1.39E-02	2.69E-05	2.51E-02	3.16E-02
0.144	10.003	1.38E-01	6.07E-02	7.71E-02	1.04E-02	1.39E-02	1.24E-05	2.51E-02	3.16E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

************************************
* Layers:	M2-M1-POLY (on AA) *
************************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.144	0.143	2.79E-01	2.96E-02	2.72E-02	1.53E-02	1.39E-02	1.09E-01	7.15E-03	6.64E-03
0.144	0.153	2.67E-01	3.05E-02	2.80E-02	1.53E-02	1.39E-02	1.02E-01	7.61E-03	7.06E-03
0.144	0.173	2.47E-01	3.23E-02	2.97E-02	1.53E-02	1.39E-02	9.11E-02	8.50E-03	7.90E-03
0.144	0.203	2.25E-01	3.49E-02	3.22E-02	1.53E-02	1.39E-02	7.79E-02	9.82E-03	9.13E-03
0.144	0.253	2.01E-01	3.91E-02	3.61E-02	1.53E-02	1.39E-02	6.20E-02	1.19E-02	1.11E-02
0.144	0.303	1.85E-01	4.31E-02	3.98E-02	1.53E-02	1.39E-02	5.06E-02	1.39E-02	1.30E-02
0.144	0.403	1.68E-01	5.01E-02	4.64E-02	1.53E-02	1.39E-02	3.53E-02	1.74E-02	1.63E-02
0.144	0.503	1.59E-01	5.60E-02	5.20E-02	1.53E-02	1.39E-02	2.54E-02	2.03E-02	1.91E-02
0.144	0.603	1.55E-01	6.08E-02	5.65E-02	1.53E-02	1.39E-02	1.86E-02	2.27E-02	2.13E-02
0.144	0.803	1.51E-01	6.76E-02	6.31E-02	1.53E-02	1.39E-02	1.01E-02	2.61E-02	2.46E-02
0.144	1.003	1.50E-01	7.17E-02	6.70E-02	1.53E-02	1.39E-02	5.57E-03	2.82E-02	2.65E-02
0.144	1.203	1.50E-01	7.40E-02	6.92E-02	1.53E-02	1.39E-02	3.11E-03	2.94E-02	2.77E-02
0.144	1.403	1.49E-01	7.54E-02	7.05E-02	1.53E-02	1.39E-02	1.78E-03	3.00E-02	2.83E-02
0.144	1.603	1.49E-01	7.61E-02	7.12E-02	1.53E-02	1.39E-02	1.06E-03	3.04E-02	2.87E-02
0.144	1.803	1.49E-01	7.65E-02	7.16E-02	1.53E-02	1.39E-02	6.78E-04	3.06E-02	2.88E-02
0.144	2.003	1.49E-01	7.67E-02	7.18E-02	1.53E-02	1.39E-02	4.68E-04	3.07E-02	2.89E-02
0.144	2.503	1.49E-01	7.69E-02	7.20E-02	1.53E-02	1.39E-02	2.36E-04	3.08E-02	2.91E-02
0.144	3.003	1.49E-01	7.70E-02	7.21E-02	1.53E-02	1.39E-02	1.44E-04	3.09E-02	2.91E-02
0.144	4.003	1.49E-01	7.71E-02	7.22E-02	1.53E-02	1.39E-02	7.08E-05	3.09E-02	2.92E-02
0.144	5.003	1.49E-01	7.71E-02	7.22E-02	1.53E-02	1.39E-02	3.22E-05	3.09E-02	2.92E-02
0.144	7.003	1.49E-01	7.72E-02	7.22E-02	1.53E-02	1.39E-02	1.44E-05	3.09E-02	2.92E-02
0.144	10.003	1.50E-01	7.72E-02	7.23E-02	1.53E-02	1.39E-02	9.01E-06	3.10E-02	2.92E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M3-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.144	0.143	2.71E-01	2.14E-02	9.61E-03	1.04E-02	4.49E-03	1.15E-01	5.50E-03	2.56E-03
0.144	0.153	2.59E-01	2.21E-02	9.89E-03	1.04E-02	4.49E-03	1.08E-01	5.81E-03	2.70E-03
0.144	0.173	2.38E-01	2.33E-02	1.04E-02	1.04E-02	4.49E-03	9.75E-02	6.42E-03	2.98E-03
0.144	0.203	2.15E-01	2.51E-02	1.13E-02	1.04E-02	4.49E-03	8.49E-02	7.34E-03	3.39E-03
0.144	0.253	1.88E-01	2.81E-02	1.26E-02	1.04E-02	4.49E-03	7.00E-02	8.82E-03	4.07E-03
0.144	0.303	1.70E-01	3.10E-02	1.40E-02	1.04E-02	4.49E-03	5.95E-02	1.03E-02	4.74E-03
0.144	0.403	1.48E-01	3.64E-02	1.66E-02	1.04E-02	4.49E-03	4.52E-02	1.30E-02	6.04E-03
0.144	0.503	1.36E-01	4.14E-02	1.90E-02	1.04E-02	4.49E-03	3.59E-02	1.55E-02	7.24E-03
0.144	0.603	1.28E-01	4.58E-02	2.12E-02	1.04E-02	4.49E-03	2.91E-02	1.77E-02	8.34E-03
0.144	0.803	1.20E-01	5.33E-02	2.49E-02	1.04E-02	4.49E-03	1.99E-02	2.14E-02	1.02E-02
0.144	1.003	1.16E-01	5.91E-02	2.79E-02	1.04E-02	4.49E-03	1.40E-02	2.43E-02	1.17E-02
0.144	1.203	1.14E-01	6.34E-02	3.01E-02	1.04E-02	4.49E-03	9.97E-03	2.65E-02	1.28E-02
0.144	1.403	1.13E-01	6.66E-02	3.18E-02	1.04E-02	4.49E-03	7.14E-03	2.81E-02	1.37E-02
0.144	1.603	1.13E-01	6.91E-02	3.31E-02	1.04E-02	4.49E-03	5.15E-03	2.93E-02	1.43E-02
0.144	1.803	1.12E-01	7.08E-02	3.40E-02	1.04E-02	4.49E-03	3.75E-03	3.02E-02	1.47E-02
0.144	2.003	1.12E-01	7.21E-02	3.47E-02	1.04E-02	4.49E-03	2.73E-03	3.08E-02	1.51E-02
0.144	2.503	1.12E-01	7.39E-02	3.57E-02	1.04E-02	4.49E-03	1.27E-03	3.17E-02	1.56E-02
0.144	3.003	1.12E-01	7.47E-02	3.61E-02	1.04E-02	4.49E-03	6.55E-04	3.21E-02	1.58E-02
0.144	4.003	1.12E-01	7.53E-02	3.64E-02	1.04E-02	4.49E-03	2.45E-04	3.24E-02	1.59E-02
0.144	5.003	1.12E-01	7.54E-02	3.65E-02	1.04E-02	4.49E-03	1.24E-04	3.25E-02	1.60E-02
0.144	7.003	1.12E-01	7.55E-02	3.65E-02	1.04E-02	4.49E-03	5.21E-05	3.25E-02	1.60E-02
0.144	10.003	1.12E-01	7.56E-02	3.66E-02	1.04E-02	4.49E-03	2.20E-05	3.26E-02	1.60E-02
