*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****          SMIC Interconnect Capacitance Table         ************
***********************************************************************

Process: 	0.11um Mixed Signal 1P8M Salicide, Dual Voltage (1.2V/3.3V)
Version: 	1.24
Date: 		2015-1-16
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.144	0.133	2.85E-01	2.55E-02	1.04E-02	1.23E-01	7.54E-03
0.144	0.153	2.59E-01	2.69E-02	1.04E-02	1.09E-01	8.24E-03
0.144	0.173	2.38E-01	2.83E-02	1.04E-02	9.85E-02	8.93E-03
0.144	0.200	2.17E-01	3.00E-02	1.04E-02	8.71E-02	9.79E-03
0.144	0.250	1.89E-01	3.34E-02	1.04E-02	7.20E-02	1.15E-02
0.144	0.300	1.70E-01	3.67E-02	1.04E-02	6.15E-02	1.31E-02
0.144	0.400	1.47E-01	4.26E-02	1.04E-02	4.76E-02	1.61E-02
0.144	0.500	1.34E-01	4.80E-02	1.04E-02	3.86E-02	1.88E-02
0.144	0.600	1.25E-01	5.29E-02	1.04E-02	3.23E-02	2.12E-02
0.144	0.800	1.16E-01	6.12E-02	1.04E-02	2.38E-02	2.54E-02
0.144	1.000	1.11E-01	6.79E-02	1.04E-02	1.84E-02	2.88E-02
0.144	1.200	1.08E-01	7.34E-02	1.04E-02	1.46E-02	3.15E-02
0.144	1.400	1.06E-01	7.78E-02	1.04E-02	1.19E-02	3.37E-02
0.144	1.600	1.05E-01	8.14E-02	1.04E-02	9.85E-03	3.55E-02
0.144	1.800	1.05E-01	8.43E-02	1.04E-02	8.30E-03	3.69E-02
0.144	2.000	1.04E-01	8.67E-02	1.04E-02	7.10E-03	3.81E-02
0.144	2.500	1.04E-01	9.09E-02	1.04E-02	5.10E-03	4.02E-02
0.144	3.000	1.04E-01	9.35E-02	1.04E-02	3.83E-03	4.15E-02
0.144	4.000	1.03E-01	9.69E-02	1.04E-02	2.46E-03	4.32E-02
0.144	5.000	1.03E-01	9.86E-02	1.04E-02	1.79E-03	4.41E-02
0.144	7.000	1.03E-01	1.00E-01	1.04E-02	1.26E-03	4.48E-02
0.144	10.000	1.03E-01	1.01E-01	1.04E-02	8.12E-04	4.54E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M1-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.144	0.133	2.88E-01	3.45E-02	1.53E-02	1.21E-01	9.59E-03
0.144	0.153	2.62E-01	3.64E-02	1.53E-02	1.07E-01	1.06E-02
0.144	0.173	2.42E-01	3.84E-02	1.53E-02	9.61E-02	1.15E-02
0.144	0.200	2.21E-01	4.09E-02	1.53E-02	8.46E-02	1.28E-02
0.144	0.250	1.94E-01	4.54E-02	1.53E-02	6.93E-02	1.51E-02
0.144	0.300	1.76E-01	4.96E-02	1.53E-02	5.86E-02	1.72E-02
0.144	0.400	1.55E-01	5.74E-02	1.53E-02	4.44E-02	2.10E-02
0.144	0.500	1.43E-01	6.41E-02	1.53E-02	3.53E-02	2.44E-02
0.144	0.600	1.35E-01	7.01E-02	1.53E-02	2.89E-02	2.74E-02
0.144	0.800	1.27E-01	7.97E-02	1.53E-02	2.06E-02	3.22E-02
0.144	1.000	1.24E-01	8.71E-02	1.53E-02	1.55E-02	3.59E-02
0.144	1.200	1.22E-01	9.28E-02	1.53E-02	1.20E-02	3.87E-02
0.144	1.400	1.20E-01	9.70E-02	1.53E-02	9.62E-03	4.08E-02
0.144	1.600	1.20E-01	1.00E-01	1.53E-02	7.88E-03	4.25E-02
0.144	1.800	1.19E-01	1.03E-01	1.53E-02	6.58E-03	4.39E-02
0.144	2.000	1.19E-01	1.05E-01	1.53E-02	5.57E-03	4.49E-02
0.144	2.500	1.19E-01	1.09E-01	1.53E-02	3.92E-03	4.68E-02
0.144	3.000	1.19E-01	1.11E-01	1.53E-02	2.96E-03	4.78E-02
0.144	4.000	1.19E-01	1.14E-01	1.53E-02	1.92E-03	4.91E-02
0.144	5.000	1.19E-01	1.15E-01	1.53E-02	1.50E-03	4.97E-02
0.144	7.000	1.19E-01	1.16E-01	1.53E-02	1.04E-03	5.03E-02
0.144	10.000	1.19E-01	1.17E-01	1.53E-02	7.01E-04	5.08E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M2-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.160	2.78E-01	1.65E-02	5.61E-03	1.22E-01	5.44E-03
0.180	0.180	2.55E-01	1.71E-02	5.61E-03	1.11E-01	5.74E-03
0.180	0.200	2.37E-01	1.78E-02	5.61E-03	1.02E-01	6.08E-03
0.180	0.250	2.04E-01	1.93E-02	5.61E-03	8.47E-02	6.84E-03
0.180	0.300	1.82E-01	2.08E-02	5.61E-03	7.31E-02	7.58E-03
0.180	0.400	1.53E-01	2.37E-02	5.61E-03	5.80E-02	9.03E-03
0.180	0.500	1.36E-01	2.64E-02	5.61E-03	4.84E-02	1.04E-02
0.180	0.600	1.24E-01	2.90E-02	5.61E-03	4.18E-02	1.17E-02
0.180	0.800	1.10E-01	3.39E-02	5.61E-03	3.29E-02	1.41E-02
0.180	1.000	1.01E-01	3.83E-02	5.61E-03	2.71E-02	1.63E-02
0.180	1.200	9.61E-02	4.22E-02	5.61E-03	2.29E-02	1.83E-02
0.180	1.400	9.24E-02	4.57E-02	5.61E-03	1.97E-02	2.00E-02
0.180	1.600	8.99E-02	4.88E-02	5.61E-03	1.72E-02	2.16E-02
0.180	1.800	8.81E-02	5.16E-02	5.61E-03	1.51E-02	2.30E-02
0.180	2.000	8.67E-02	5.41E-02	5.61E-03	1.35E-02	2.43E-02
0.180	2.500	8.47E-02	5.92E-02	5.61E-03	1.03E-02	2.68E-02
0.180	3.000	8.35E-02	6.32E-02	5.61E-03	8.17E-03	2.88E-02
0.180	4.000	8.25E-02	6.85E-02	5.61E-03	5.50E-03	3.14E-02
0.180	5.000	8.21E-02	7.19E-02	5.61E-03	3.99E-03	3.32E-02
0.180	7.000	8.19E-02	7.57E-02	5.61E-03	2.46E-03	3.50E-02
0.180	10.000	8.18E-02	7.81E-02	5.61E-03	1.49E-03	3.63E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M2-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.160	2.78E-01	1.80E-02	6.49E-03	1.22E-01	5.78E-03
0.180	0.180	2.56E-01	1.88E-02	6.49E-03	1.11E-01	6.15E-03
0.180	0.200	2.37E-01	1.95E-02	6.49E-03	1.01E-01	6.50E-03
0.180	0.250	2.04E-01	2.12E-02	6.49E-03	8.43E-02	7.37E-03
0.180	0.300	1.82E-01	2.30E-02	6.49E-03	7.27E-02	8.23E-03
0.180	0.400	1.54E-01	2.63E-02	6.49E-03	5.74E-02	9.89E-03
0.180	0.500	1.37E-01	2.94E-02	6.49E-03	4.78E-02	1.15E-02
0.180	0.600	1.25E-01	3.24E-02	6.49E-03	4.10E-02	1.29E-02
0.180	0.800	1.11E-01	3.78E-02	6.49E-03	3.20E-02	1.57E-02
0.180	1.000	1.03E-01	4.26E-02	6.49E-03	2.60E-02	1.81E-02
0.180	1.200	9.81E-02	4.69E-02	6.49E-03	2.18E-02	2.02E-02
0.180	1.400	9.48E-02	5.07E-02	6.49E-03	1.86E-02	2.21E-02
0.180	1.600	9.25E-02	5.40E-02	6.49E-03	1.61E-02	2.37E-02
0.180	1.800	9.08E-02	5.69E-02	6.49E-03	1.41E-02	2.52E-02
0.180	2.000	8.97E-02	5.95E-02	6.49E-03	1.24E-02	2.65E-02
0.180	2.500	8.79E-02	6.47E-02	6.49E-03	9.39E-03	2.91E-02
0.180	3.000	8.70E-02	6.85E-02	6.49E-03	7.37E-03	3.10E-02
0.180	4.000	8.62E-02	7.36E-02	6.49E-03	4.89E-03	3.36E-02
0.180	5.000	8.58E-02	7.68E-02	6.49E-03	3.52E-03	3.52E-02
0.180	7.000	8.57E-02	8.02E-02	6.49E-03	2.15E-03	3.68E-02
0.180	10.000	8.56E-02	8.23E-02	6.49E-03	1.31E-03	3.79E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M2-M1 *
***********************
